section,name,provision_ids
18,"DOT LOG: things heard in passing (offhand wishes, cravings, traditions mentioned once, store complaints) logged verbatim the day heard; the raw material for gestures",STD-016.4.1
19,FREQUENT-TRAVELER PACK (if travel is a rhythm): go-bag contents + restock list; laundry synced to travel calendar; points/loyalty prefs; meet-and-greet / expedited-security memberships; absence coverage (house/plants/pets); return-day reset timing; jet-lag recovery prefs,STD-015.1.1;STD-015.1.2
19,"Maintenance calendar: filters, gutters, HVAC service, irrigation, chimney",STD-016.6.1;STD-016.6.3
19,"Movable-date observances (lunar/non-Gregorian): which apply, this year's dates, and their prep traditions (pre-Passover clean; clean BEFORE Lunar New Year, not during first days)",STD-014.3.1;STD-014.3.3
19,"PET MILESTONE DATES (pet-primary homes): birthday / adoption (gotcha) day; marked with milestone care, sibling equity across pets, never billed",STD-016.6.4;STD-019.1.3
19,"Seasonal gear rotation: where rain gear, boots, umbrellas, humidifiers, dehumidifiers, and space heaters actually live and when they move, cross-referenced to the container and label system (S15)",STD-003.8.1;STD-013.4.1
21,"GAME-DAY / SHOW-NIGHT RITUALS: the traditions (jersey washed by Friday, the snacks, the pre-show dinner spot); protected like any tradition, honored by covering HMs per the Stranger Test",STD-019.1.1;STD-019.1.2
21,"Gift & flower customs: colors, numbers, objects, and flowers to avoid; giving traditions (the gesture engine's safety check)",STD-014.5.1;STD-019.8.1
21,"Gift-giving norms: budgets by relationship, wrapping standards, the go-to gifts; florist and card preferences (briefs WK_05H partners and WK_02Q bundles)",STD-019.8.1;STD-019.8.5
21,Guest room standard and turnaround,STD-015.2.4;STD-019.4.1
21,"Hosting style: frequency, scale, formality; guest-ready definition for THIS home",STD-019.2.1;STD-019.4.2
21,Observance calendar: which holidays and traditions this family actually keeps (and which they do not); drives all seasonal proposals and decor; prevents mistargeted offers,STD-014.3.1;STD-014.3.2;STD-014.3.3
21,"Recurring-guests registry: who stays regularly (grandparents, siblings), their room setup, their preferences (the extra blanket, the decaf)",STD-019.4.1;STD-019.4.2
21,"SOLO-COVERAGE MODE: counterpart to VISITING-CHILD MODE, for any bimodal-absence household (deployment, fire season, a tour, disaster response). A staged, reversible shift in household rhythm for the absence window and back again on return — same toggle logic applied to who is home rather than who is visiting. For a rotating-shift household, the quiet-time window is a periodically reconfirmed fact, not one set at intake and left stale",STD-019.6.1;STD-019.6.2;STD-019.6.3;STD-019.6.5
21,"TRADITIONS REGISTRY: the rituals that make this family this family (birthday person picks dinner, first-day porch photo, Sunday pancakes); protected by covering HMs per the Stranger Test",STD-019.1.1;STD-019.1.2;STD-019.1.3
22,Guest-and-visitor policy: may the HM have anyone present while working? (privacy + liability boundary; standard in professional household roles),STD-019.4.3;STD-020.4.1
